Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Biden and Harris,Democratic Party,Presidential Electors for,Andover,1058,Andover Elementary School Gymnasium
Trump and Pence,Republican Party,Presidential Electors for,Andover,998,Andover Elementary School Gymnasium
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Andover,27,Andover Elementary School Gymnasium
Hawkins and Walker,Green Party,Presidential Electors for,Andover,8,Andover Elementary School Gymnasium
Carroll and Patel,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Charles and Wallace,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
De La Fuenta and Richardson,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Howard and Howard,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Klojzy and LeMay,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Simmons and Dow,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Simmons and Roze,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Weinstein and Weinstein,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Wells and Wells,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
West and Tidball,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,747,Ward 1 Ansonia Armory
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,436,Ward 1 Ansonia Armory
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,8,Ward 1 Ansonia Armory
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,3,Ward 1 Ansonia Armory
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,649,Ward 2 Ansonia Armory
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,481,Ward 2 Ansonia Armory
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,6,Ward 2 Ansonia Armory
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,4,Ward 2 Ansonia Armory
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
West and Tidball,Write In,Presidential Electors for,Ansonia,1,Ward 2 Ansonia Armory
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,605,Ward 3 Holy Rosary Church Hall
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,471,Ward 3 Holy Rosary Church Hall
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,11,Ward 3 Holy Rosary Church Hall
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,7,Ward 3 Holy Rosary Church Hall
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church Hall
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,465,Ward 4 Ansonia Middle School Gym
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,267,Ward 4 Ansonia Middle School Gym
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,7,Ward 4 Ansonia Middle School Gym
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,4,Ward 4 Ansonia Middle School Gym
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 4 Ansonia Middle School Gym
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,684,Ward 5 Ansonia Middle School Gym,
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,501,Ward 5 Ansonia Middle School Gym,
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,15,Ward 5 Ansonia Middle School Gym,
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,7,Ward 5 Ansonia Middle School Gym,
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 5 Ansonia Middle School Gym,
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,665,Ward 6 Prendergast School Gym
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,762,Ward 6 Prendergast School Gym
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,9,Ward 6 Prendergast School Gym
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,7,Ward 6 Prendergast School Gym
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 6 Prendergast School Gym
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,706,Ward 7 Mead School Cafe
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,879,Ward 7 Mead School Cafe
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,7,Ward 7 Mead School Cafe
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,5,Ward 7 Mead School Cafe
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Weinstein and Weinstein,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Wells and Wells,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
West and Tidball,Write In,Presidential Electors for,Ansonia,0,Ward 7 Mead School Cafe
Biden and Harris,Democratic Party,Presidential Electors for,Ashford,1330,Knowlton Memorial Hall
Trump and Pence,Republican Party,Presidential Electors for,Ashford,1160,Knowlton Memorial Hall
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ashford,35,Knowlton Memorial Hall
Hawkins and Walker,Green Party,Presidential Electors for,Ashford,17,Knowlton Memorial Hall
Carroll and Patel,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Charles and Wallace,Write In,Presidential Electors for,Ashford,1,Knowlton Memorial Hall
De La Fuenta and Richardson,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Howard and Howard,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Klojzy and LeMay,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Simmons and Dow,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Simmons and Roze,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Weinstein and Weinstein,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
Wells and Wells,Write In,Presidential Electors for,Ashford,0,Knowlton Memorial Hall
West and Tidball,Write In,Presidential Electors for,Ashford,1,Knowlton Memorial Hall
Biden and Harris,Democratic Party,Presidential Electors for,Avon,2866,Avon High School - Gymnasium
Trump and Pence,Republican Party,Presidential Electors for,Avon,1875,Avon High School - Gymnasium
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Avon,61,Avon High School - Gymnasium
Hawkins and Walker,Green Party,Presidential Electors for,Avon,18,Avon High School - Gymnasium
Carroll and Patel,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Charles and Wallace,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
De La Fuenta and Richardson,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Howard and Howard,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Klojzy and LeMay,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Simmons and Dow,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Simmons and Roze,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Weinstein and Weinstein,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Wells and Wells,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
West and Tidball,Write In,Presidential Electors for,Avon,0,Avon High School - Gymnasium
Biden and Harris,Democratic Party,Presidential Electors for,Avon,2105,Firehouse Company #1
Trump and Pence,Republican Party,Presidential Electors for,Avon,1153,Firehouse Company #1
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Avon,50,Firehouse Company #1
Hawkins and Walker,Green Party,Presidential Electors for,Avon,14,Firehouse Company #1
Carroll and Patel,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Charles and Wallace,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
De La Fuenta and Richardson,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Howard and Howard,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Klojzy and LeMay,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Simmons and Dow,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Simmons and Roze,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Weinstein and Weinstein,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
Wells and Wells,Write In,Presidential Electors for,Avon,0,Firehouse Company #1
West and Tidball,Write In,Presidential Electors for,Avon,1,Firehouse Company #1
Biden and Harris,Democratic Party,Presidential Electors for,Avon,2328,Roaring Brook School
Trump and Pence,Republican Party,Presidential Electors for,Avon,1441,Roaring Brook School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Avon,58,Roaring Brook School
Hawkins and Walker,Green Party,Presidential Electors for,Avon,17,Roaring Brook School
Carroll and Patel,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Charles and Wallace,Write In,Presidential Electors for,Avon,0,Roaring Brook School
De La Fuenta and Richardson,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Howard and Howard,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Klojzy and LeMay,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Simmons and Dow,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Simmons and Roze,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Weinstein and Weinstein,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Wells and Wells,Write In,Presidential Electors for,Avon,0,Roaring Brook School
West and Tidball,Write In,Presidential Electors for,Avon,0,Roaring Brook School
Biden and Harris,Democratic Party,Presidential Electors for,Barkhamsted,1154,Barkhamsted Elementary School
Trump and Pence,Republican Party,Presidential Electors for,Barkhamsted,1228,Barkhamsted Elementary School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Barkhamsted,42,Barkhamsted Elementary School
Hawkins and Walker,Green Party,Presidential Electors for,Barkhamsted,16,Barkhamsted Elementary School
Carroll and Patel,Write In,Presidential Electors for,Barkhamsted,2,Barkhamsted Elementary School
Charles and Wallace,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
De La Fuenta and Richardson,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Howard and Howard,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Klojzy and LeMay,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Simmons and Dow,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Simmons and Roze,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Weinstein and Weinstein,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Wells and Wells,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
West and Tidball,Write In,Presidential Electors for,Barkhamsted,0,Barkhamsted Elementary School
Biden and Harris,Democratic Party,Presidential Electors for,Beacon Falls,1543,Laurel Ledge School
Trump and Pence,Republican Party,Presidential Electors for,Beacon Falls,2191,Laurel Ledge School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Beacon Falls,57,Laurel Ledge School
Hawkins and Walker,Green Party,Presidential Electors for,Beacon Falls,12,Laurel Ledge School
Carroll and Patel,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Charles and Wallace,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
De La Fuenta and Richardson,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Howard and Howard,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Klojzy and LeMay,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Simmons and Dow,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Simmons and Roze,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Weinstein and Weinstein,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Wells and Wells,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
West and Tidball,Write In,Presidential Electors for,Beacon Falls,0,Laurel Ledge School
Biden and Harris,Democratic Party,Presidential Electors for,Berlin,1651,Griswold School
Trump and Pence,Republican Party,Presidential Electors for,Berlin,1823,Griswold School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Berlin,38,Griswold School
Hawkins and Walker,Green Party,Presidential Electors for,Berlin,10,Griswold School
Carroll and Patel,Write In,Presidential Electors for,Berlin,0,Griswold School
Charles and Wallace,Write In,Presidential Electors for,Berlin,0,Griswold School
De La Fuenta and Richardson,Write In,Presidential Electors for,Berlin,0,Griswold School
Howard and Howard,Write In,Presidential Electors for,Berlin,0,Griswold School
Klojzy and LeMay,Write In,Presidential Electors for,Berlin,0,Griswold School
Simmons and Dow,Write In,Presidential Electors for,Berlin,0,Griswold School
Simmons and Roze,Write In,Presidential Electors for,Berlin,0,Griswold School
Weinstein and Weinstein,Write In,Presidential Electors for,Berlin,0,Griswold School
Wells and Wells,Write In,Presidential Electors for,Berlin,0,Griswold School
West and Tidball,Write In,Presidential Electors for,Berlin,0,Griswold School
Biden and Harris,Democratic Party,Presidential Electors for,Berlin,1244,Hubbard School
Trump and Pence,Republican Party,Presidential Electors for,Berlin,1335,Hubbard School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Berlin,20,Hubbard School
Hawkins and Walker,Green Party,Presidential Electors for,Berlin,6,Hubbard School
Carroll and Patel,Write In,Presidential Electors for,Berlin,0,Hubbard School
Charles and Wallace,Write In,Presidential Electors for,Berlin,0,Hubbard School
De La Fuenta and Richardson,Write In,Presidential Electors for,Berlin,0,Hubbard School
Howard and Howard,Write In,Presidential Electors for,Berlin,0,Hubbard School
Klojzy and LeMay,Write In,Presidential Electors for,Berlin,0,Hubbard School
Simmons and Dow,Write In,Presidential Electors for,Berlin,0,Hubbard School
Simmons and Roze,Write In,Presidential Electors for,Berlin,0,Hubbard School
Weinstein and Weinstein,Write In,Presidential Electors for,Berlin,0,Hubbard School
Wells and Wells,Write In,Presidential Electors for,Berlin,0,Hubbard School
West and Tidball,Write In,Presidential Electors for,Berlin,0,Hubbard School
Biden and Harris,Democratic Party,Presidential Electors for,Berlin,895,Senior Center
Trump and Pence,Republican Party,Presidential Electors for,Berlin,1209,Senior Center
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Berlin,23,Senior Center
Hawkins and Walker,Green Party,Presidential Electors for,Berlin,10,Senior Center
Carroll and Patel,Write In,Presidential Electors for,Berlin,0,Senior Center
Charles and Wallace,Write In,Presidential Electors for,Berlin,0,Senior Center
De La Fuenta and Richardson,Write In,Presidential Electors for,Berlin,0,Senior Center
Howard and Howard,Write In,Presidential Electors for,Berlin,0,Senior Center
Klojzy and LeMay,Write In,Presidential Electors for,Berlin,0,Senior Center
Simmons and Dow,Write In,Presidential Electors for,Berlin,0,Senior Center
Simmons and Roze,Write In,Presidential Electors for,Berlin,0,Senior Center
Weinstein and Weinstein,Write In,Presidential Electors for,Berlin,0,Senior Center
Wells and Wells,Write In,Presidential Electors for,Berlin,0,Senior Center
West and Tidball,Write In,Presidential Electors for,Berlin,1,Senior Center
Biden and Harris,Democratic Party,Presidential Electors for,Berlin,1517,VFW
Trump and Pence,Republican Party,Presidential Electors for,Berlin,1548,VFW
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Berlin,41,VFW
Hawkins and Walker,Green Party,Presidential Electors for,Berlin,12,VFW
Carroll and Patel,Write In,Presidential Electors for,Berlin,0,VFW
Charles and Wallace,Write In,Presidential Electors for,Berlin,0,VFW
De La Fuenta and Richardson,Write In,Presidential Electors for,Berlin,0,VFW
Howard and Howard,Write In,Presidential Electors for,Berlin,0,VFW
Klojzy and LeMay,Write In,Presidential Electors for,Berlin,0,VFW
Simmons and Dow,Write In,Presidential Electors for,Berlin,0,VFW
Simmons and Roze,Write In,Presidential Electors for,Berlin,0,VFW
Weinstein and Weinstein,Write In,Presidential Electors for,Berlin,0,VFW
Wells and Wells,Write In,Presidential Electors for,Berlin,0,VFW
West and Tidball,Write In,Presidential Electors for,Berlin,0,VFW
Biden and Harris,Democratic Party,Presidential Electors for,Berlin,701,Willard School
Trump and Pence,Republican Party,Presidential Electors for,Berlin,772,Willard School
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Berlin,14,Willard School
Hawkins and Walker,Green Party,Presidential Electors for,Berlin,3,Willard School
Carroll and Patel,Write In,Presidential Electors for,Berlin,0,Willard School
Charles and Wallace,Write In,Presidential Electors for,Berlin,0,Willard School
De La Fuenta and Richardson,Write In,Presidential Electors for,Berlin,0,Willard School
Howard and Howard,Write In,Presidential Electors for,Berlin,0,Willard School
Klojzy and LeMay,Write In,Presidential Electors for,Berlin,0,Willard School
Simmons and Dow,Write In,Presidential Electors for,Berlin,0,Willard School
Simmons and Roze,Write In,Presidential Electors for,Berlin,0,Willard School
Weinstein and Weinstein,Write In,Presidential Electors for,Berlin,0,Willard School
Wells and Wells,Write In,Presidential Electors for,Berlin,0,Willard School
West and Tidball,Write In,Presidential Electors for,Berlin,0,Willard School
Biden and Harris,Democratic Party,Presidential Electors for,Bethany,1912,Town Hall
Trump and Pence,Republican Party,Presidential Electors for,Bethany,1718,Town Hall
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Bethany,46,Town Hall
Hawkins and Walker,Green Party,Presidential Electors for,Bethany,22,Town Hall
Carroll and Patel,Write In,Presidential Electors for,Bethany,0,Town Hall
Charles and Wallace,Write In,Presidential Electors for,Bethany,0,Town Hall
De La Fuenta and Richardson,Write In,Presidential Electors for,Bethany,0,Town Hall
Howard and Howard,Write In,Presidential Electors for,Bethany,0,Town Hall
Klojzy and LeMay,Write In,Presidential Electors for,Bethany,0,Town Hall
Simmons and Dow,Write In,Presidential Electors for,Bethany,0,Town Hall
Simmons and Roze,Write In,Presidential Electors for,Bethany,0,Town Hall
Weinstein and Weinstein,Write In,Presidential Electors for,Bethany,0,Town Hall
Wells and Wells,Write In,Presidential Electors for,Bethany,0,Town Hall
West and Tidball,Write In,Presidential Electors for,Bethany,0,Town Hall
Biden and Harris,Democratic Party,Presidential Electors for,Bethel,920,Bethel Municipal Center 1
Trump and Pence,Republican Party,Presidential Electors for,Bethel,520,Bethel Municipal Center 1
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Bethel,12,Bethel Municipal Center 1
Hawkins and Walker,Green Party,Presidential Electors for,Bethel,5,Bethel Municipal Center 1
Carroll and Patel,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Charles and Wallace,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
De La Fuenta and Richardson,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Howard and Howard,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Klojzy and LeMay,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Simmons and Dow,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Simmons and Roze,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Weinstein and Weinstein,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Wells and Wells,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
West and Tidball,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 1
Biden and Harris,Democratic Party,Presidential Electors for,Bethel,1673,Bethel Municipal Center 4
Trump and Pence,Republican Party,Presidential Electors for,Bethel,1133,Bethel Municipal Center 4
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Bethel,32,Bethel Municipal Center 4
Hawkins and Walker,Green Party,Presidential Electors for,Bethel,14,Bethel Municipal Center 4
Carroll and Patel,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Charles and Wallace,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
De La Fuenta and Richardson,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Howard and Howard,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Klojzy and LeMay,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Simmons and Dow,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Simmons and Roze,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Weinstein and Weinstein,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Wells and Wells,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
West and Tidball,Write In,Presidential Electors for,Bethel,0,Bethel Municipal Center 4
Biden and Harris,Democratic Party,Presidential Electors for,Bethel,2064,Frank A. Berry School - 3
Trump and Pence,Republican Party,Presidential Electors for,Bethel,1656,Frank A. Berry School - 3
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Bethel,36,Frank A. Berry School - 3
Hawkins and Walker,Green Party,Presidential Electors for,Bethel,21,Frank A. Berry School - 3
Carroll and Patel,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Charles and Wallace,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
De La Fuenta and Richardson,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Howard and Howard,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Klojzy and LeMay,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Simmons and Dow,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Simmons and Roze,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Weinstein and Weinstein,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Wells and Wells,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
West and Tidball,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 3
Biden and Harris,Democratic Party,Presidential Electors for,Bethel,243,Frank A. Berry School - 5
Trump and Pence,Republican Party,Presidential Electors for,Bethel,255,Frank A. Berry School - 5
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Bethel,8,Frank A. Berry School - 5
Hawkins and Walker,Green Party,Presidential Electors for,Bethel,3,Frank A. Berry School - 5
Carroll and Patel,Write In,Presidential Electors for,Bethel,0,Frank A. Berry School - 5
